new_building,location,address,price,title,facilities,description_text,date_changed,ad_url,id,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,rom,tomteareal,bruttoareal,fellesformue,formuesverdi,num,boligselgerforsikring,renovert_ar,festeavgift,kommunale_avg,tomt,grunnflate,sikringsordning,solgtpris,utleiedel
FALSE,Vålerenga,"Enebakkveien 15, 0657 Oslo",2900000,Lys og fin 2-roms | Solrik balkong | IN-ordning | Ingen forkjøpsrett | Sentralt,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Heis, Husdyr, tillatt, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste"," Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Enebakkveien 15 presentert av Barry Khalidi v/ Eiendomsmegler1En lys og flott 2-roms leilighet beliggende i attraktive omgivelser på sentrumsnære Vålerenga. Leiligheten ble rehabilitert i 2004 og har en meget god og kvadratsmart planløsning. Leiligheten holder en gjennomgående god standard og fremstår som innflyttingsklar. Kort fortalt: - 1 soverom- Solrik balkong på 3 m2 (Sørvestvendt)- Individuell nedbetaling av fellesgjeld. (Fellesutgifter etter nedbetaling: estimert 2.279,-)- Sentralt- Lave omkostninger- Varmt vann inkludert- Perfekt for førstegangskjøpere- Kollektivmuligheter 1 min fra leilighetenVelkommen til hyggelig visning. Husk påmelding! Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",2021-03-24,https://www.finn.no/realestate/homes/ad.html?finnkode=210558731,210558731,634000,1164,3535164,5040,Leilighet,Andel,1,34,34,2,1890,G-rød,2,1056,37,43814,655587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,KVÆRNERBYEN,"Turbinveien 24, 0195 Oslo",4200000,"Gjennomgående 4-roms endeleil. med svært god planløsning - Malt i 20/21 - Stor, solrik balkong - Garasjeplass - Fyring &","Takterrasse, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Bademulighet, Turterreng, Lademulighet","360° visning Ons. 7. april 16:00 - 17:00 + Legg til i kalender Tor. 8. april 18:30 - 19:30 + Legg til i kalender Visningstidspunkt er veiledende, ta kontakt med megler på forhånd for å avtale tidspunkt. Eiendomsmeglerbransjen ønsker trygge visninger med så lav smitterisiko for korona som mulig. Vi møter deg derfor med et smil fremfor å håndhilse. Vi har innført tiltak som sikrer at visningene vil bli gjennomført på en så trygg måte som mulig. Ta alltid kontakt med megler før visning, slik at du får et gitt oppmøtetidspunkt for visningen. Da hindrer vi ansamling av mennesker og reduserer sammen smittefaren. Hvis du ikke har avtalt tidspunkt med megler så kan du risikere å måtte stå utenfor til alle interessenter som har booket tid har får sett på boligen. Dette gjør vi får å få en trygg og god opplevelse på visningene nå. Visningspåmelding Velkommen til Turbinveien 24 - presentert av Tiri-Alette Dahl i Eiendomsmegler1!4-roms selveierleilighet med svært god planløsning i stille og rolige omgivelser. Leiligheten har en fantastisk balkong på hele 14 m² og overflater er malt i 2020/21. Offentlig kommunikasjon, butikker, tur-og rekreasjonsmuligheter rett i nærheten, velkommen til Kværnerbyen.Kort fortalt:- Lekker 4-roms fra 2013- Gjennomgående endeleilighet- Rolig svalgang uten forbigående- TG1 på alt!- Tilvalg på bad og kjøkken- God planløsning- Prisbelønt bakgård- Felles takterrasse- IN-ordning- Varmtvann og fyring inkl.- TV og Internett inkl.- Vestvendt balkong på hele 14 m² med gode solforhold- Morgensol i svalgang- Bod på 5 m²- Heis- Garasje- Veldrevet borettslag- Umiddelbar nærhet til butikk og trening Ons. 7. april 16:00 - 17:00 + Legg til i kalender Tor. 8. april 18:30 - 19:30 + Legg til i kalender Visningstidspunkt er veiledende, ta kontakt med megler på forhånd for å avtale tidspunkt. Eiendomsmeglerbransjen ønsker trygge visninger med så lav smitterisiko for korona som mulig. Vi møter deg derfor med et smil fremfor å håndhilse. Vi har innført tiltak som sikrer at visningene vil bli gjennomført på en så trygg måte som mulig. Ta alltid kontakt med megler før visning, slik at du får et gitt oppmøtetidspunkt for visningen. Da hindrer vi ansamling av mennesker og reduserer sammen smittefaren. Hvis du ikke har avtalt tidspunkt med megler så kan du risikere å måtte stå utenfor til alle interessenter som har booket tid har får sett på boligen. Dette gjør vi får å få en trygg og god opplevelse på visningene nå. Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212922782,212922782,1892000,8658,6100658,9170,Leilighet,Andel,3,78,78,3,2013,E-mørkegrønn,4,8904,86,17966,1353183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Vika,"Cort Adelers gate 17, 0254 Oslo",5100000,"Lekker, lys og moderne 2-roms hjørneleilighet med fin utsikt og meget sentral beliggenhet. God takhøyde. Heis.","Bredbåndstilknytning, Heis, Husdyr, tillatt, Offentlig, vann/kloakk, Sentralt, Utsikt"," Ons. 7. april 15:45 - 16:45 + Legg til i kalender Tor. 8. april 15:15 - 16:15 + Legg til i kalender Visningspåmelding Arealeffektiv og pen leilighet med attraktiv beliggenhet i Vika. Lys og romslig planløsning med store vindusflater og ekstra gode lysforhold. Fra leiligheten er det fin utsikt ned Cort Adelers gate mot Akershus Festning, Aker Brygge, Oslofjorden og Ekeberg i bakgrunnen.Det er heis i gården som stopper i hver 1/2 etg. Fyring og bredbånd er inkludert i felleskostnadene.- Nytt gulv i gang, stue og kjøkken i 2019.- Moderne kjøkken og bad.- Høyt og fritt beliggende i 4. etg.- God takhøyde på 2,8 meter.- Nymalt kjøkken.- Fasaden pusset opp i 2015.- God planløsning.- Særdeles sentral beliggenhet.Velkommen til visning! Ons. 7. april 15:45 - 16:45 + Legg til i kalender Tor. 8. april 15:15 - 16:15 + Legg til i kalender Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212688540,212688540,116221,128842,5345063,3178,Leilighet,Eier(Selveier),1,52,52,4,1887,G-rød,2,644,57,6748,1195179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Majorstuen,"Kirkeveien 102B, 0361 Oslo",6390000,"Lekker og moderne 3-roms leilighet med heis, peis og solrik balkong! Kjøkken fra 2015 og gjennomgående planløsning.","Bredbåndstilknytning, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Sentralt"," Tir. 6. april 16:00 - 17:00 + Legg til i kalender Ons. 7. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding Velkommen til Kirkeveien 102B! En lekker og moderne 3-roms med sentral beliggenhet på Majorstuen. Boligen har gjennomgående planløsning og bra standard med kjøkken fra 2015 og bad fra 2011. Boligen er malt i moderne og pene farger og har mange gode kvaliteter. Tv, internett, varmtvann og fyring inkl i felleskostnadene. Her kan du flytte rett inn!- Stilig KVIK kjøkken fra 2015- Solrik balkong med flott utsyn- Peis i stuen- Heis i bygget- Delikat baderom fra 2011- To soverom med god størrelse- Åpen planløsning - Fin intern beliggenhet i byggets 6.etasje- Radiatorer tilkoblet vannbåren varme- Helsparklet og malt vegger i 2020 Tir. 6. april 16:00 - 17:00 + Legg til i kalender Ons. 7. april 16:30 - 17:30 + Legg til i kalender Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212899175,212899175,183100,165667,6738767,4690,Leilighet,Eier(Selveier),2,72,72,6,1935,F-mørkegrønn,3,2578,78,21156,1364676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,,"Bernt Knudsens vei 48, 1152 Oslo",6340000,"Nordstrand. 4-roms toppleilighet med vestvendt balkong, hage, peis og stor garasjeplass","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Hage, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Parkett, Peis/Ildsted, Rolig, Utsikt, Turterreng"," Man. 5. april 16:00 - 16:20 + Legg til i kalender Man. 5. april 16:20 - 16:40 + Legg til i kalender Man. 5. april 16:40 - 17:00 + Legg til i kalender Tir. 6. april 17:00 - 17:20 + Legg til i kalender Tir. 6. april 17:20 - 17:40 + Legg til i kalender Tir. 6. april 17:40 - 18:00 + Legg til i kalender Visningspåmelding 4-roms i flermannsbolig med 5 seksjoner. Boligen ligger idyllisk til i gate med med eneboliger og lave flermannsboliger.Leiligheten ligger luftig til og har vestvendt balkong uten direkte gjenboere. I 2018 ble gulvene slipt og lakket, overflater sparklet og malt samt at alt elektrisk utenom bad trukket nytt. Med 3 soverom, adskilt kjøkken, romlig stue, spisestue og god oversikt over hagen er dette en ypperlig familieleilighet.Stor garasjeplass medfølger.Sameiet har hyggelig hage med plen, epletre, plommetrær, rips, stikkelsbær, bringebær og rabarbra samt platting med felles grill og felles bålpanne. Diverse:Nytt elektrisk anlegg i 2018Dimmere i alle romNy brannstige 20203 seriekoblede røykvarslereLoftsbod2 kjellerboderGarasjeplass Man. 5. april 16:00 - 16:20 + Legg til i kalender Man. 5. april 16:20 - 16:40 + Legg til i kalender Man. 5. april 16:40 - 17:00 + Legg til i kalender Tir. 6. april 17:00 - 17:20 + Legg til i kalender Tir. 6. april 17:20 - 17:40 + Legg til i kalender Tir. 6. april 17:40 - 18:00 + Legg til i kalender Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212487744,212487744,NA,159842,6499842,3036,Leilighet,Eier(Selveier),3,81,81,2,1947,G-oransje,4,1557,90,NA,1157718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,HUSEBY/RØA,"Stasjonsveien 69, 0768 Oslo",4190000,Pen 2 roms selveier med solrik vestvendt balkong - attraktiv beliggenhet - heis - sentralt - lave felleskostnader,"Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Livsløpsstandard"," Tir. 6. april 1800 - 1930 + Legg til i kalender Visningspåmelding Velkommen til Stasjonsveien 69!2- roms selveierleilighet m/solrik balkong og heis beliggende på Huseby. Leiligheten ligger i et sentralt og populært område m/kort avstand til de fleste bymessige fasiliteter. Nærhet til store rekreasjonsarealer m/flotte tur- og sykkelstier, badevann, skiløyper m.m. Leiligheten har god planløsning og flater er modernisertKort fortalt:Pen, innbydende og arealeffektiv 2-romsSelveierleilighet m/mulighet for utleieSolrik og skjermet vestvendt balkong på 6,7 m2Heis fra inngangsparti til leilighetsnivåFlott soverom m/garderobeskapEntré m/garderobeskapFin utsikt over nærområdetPene og moderniserte gulv og overflaterPraktisk innvendig bodBod på balkongenLave felleskostnader kr 1 501,- pr mnd.Matbutikk i byggets 1 etasjeUmiddelbar nærhet til t-bane og bussforbindelse Tir. 6. april 1800 - 1930 + Legg til i kalender Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212994366,212994366,3375,113770,4307145,1501,Leilighet,Eier(Selveier),1,45,48,4,1995,D-rød,NA,5309,NA,17036,886767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Lindeberg,"Lindebergåsen 28K, 1068 Oslo",5100000,Pent og nyoppusset rekkehus med flere uteplasser og utsikt. Stort kjøkken fra 2020. TV og internett inkl. Lave omk.,"Alpinanlegg, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Hage, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Fiskemulighet, Turterreng"," Ons. 7. april 16:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding Velkommen til idylliske Lindebergåsen 28K - en nyoppusset familiebolig over to plan med flere hyggelige uteplasser. Boligen har blitt betydelig oppgradert i 2018 og 2020 med to nye bad, nytt kjøkken og overflater. Dette er boligen for deg som ønsker et innflyttingsklart rekkehus i barnevennlige omgivelser, samtidig som det er et sentralt bomiljø. Her bor du med Østmarka som nærmeste nabo med rikt tur- og friluftsliv med flotte turstier, lysløype, bade- og fiskevann. Du kommer til å stortrives i ditt nye nabolag!Kort fortalt:- Nyoppusset - 2 bad fra 2018- TV og internett inkl.- Sikringsordning- God oppbevaringsplass- Familievennlig - Lave kjøpsomkostninger Kristian Karlsen Eiendomsmegler/Fagansvarlig Telefon 959 34 248 Mobil 959 34 248 Send melding Ons. 7. april 16:00 - 18:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding",2021-03-29,https://www.finn.no/realestate/homes/ad.html?finnkode=212588518,212588518,332523,8582,5441105,6377,Rekkehus,Andel,4,119,125,1,1976,F-rød,5,11580,136,27432,1294440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,TORSHOV,"Tverrbakken 4E, 0475 Oslo",3890000,Delikat 2-roms med super planløsning | Balkong med panoramautsikt og kveldssol | Fyring & varmtvann ink | Utleiem.,"Balkong/Terrasse, Bredbåndstilknytning, Fellesvaskeri, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Parkett, Rolig, Sentralt, Utsikt"," Tor. 8. april 16:30 - 16:50 + Legg til i kalender Tor. 8. april 16:50 - 17:10 + Legg til i kalender Tor. 8. april 17:10 - 17:30 + Legg til i kalender Visningspåmelding Lys og lekker 2-roms selveierleilighet. Leiligheten har en fantastisk vestvendt balkong med utsikt utover hele byen og ned mot sentrum. Selve eiendommen ligger på en høyde og derfor blir etasjene høyere enn tilsvarende omkringliggende leiligheter, og utsikten strekker seg over hustakene. Dette er en ideell leilighet for førstegangskjøpere eller deg som ønsker en leilighet med sentral beliggenhet.- Vestvendt balkong med kveldssol og panorama- Sentralt, men tilbaketrukket- Supersmart planløsning- Kort vei til off.komm og dagligvare- Bod i kjeller på 2,5 kvm- Fyring og varmtvann inkl- Utleiemulighet- IN-ordning Tor. 8. april 16:30 - 16:50 + Legg til i kalender Tor. 8. april 16:50 - 17:10 + Legg til i kalender Tor. 8. april 17:10 - 17:30 + Legg til i kalender Visningspåmelding",2021-03-29,https://www.finn.no/realestate/homes/ad.html?finnkode=212951766,212951766,128000,101792,4119792,3180,Leilighet,Eier(Selveier),1,35,35,4,1939,NA,2,3533,41,NA,738055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,LAMBERTSETER,"Feltspatveien 31, 1155 Oslo",3790000,Pen og tiltalende 2-roms topp- og hjørneleilighet. Flott utsikt og ingen innsyn. Stor balkong på 12 kvm. Peis.,"Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Bredbåndstilknytning"," Man. 5. april 1600 - 1700 + Legg til i kalender Ons. 7. april 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Feltspatveien 31. Pen og tiltalende 2-roms topp- og hjørneleilighet med attraktiv beliggenhet på Lambertseter. Leiligheten ligger i toppetasjen med herlig utsikt, og ingen innsyn. Fra stuen er det utgang til hjørnebalkong på hele 12 kvm.Leiligheten har gjennomgående god standard på innredning og overflater. Nymalte innvendige overflater, nyere IKEA kjøkken fra 2014, nytt bad oppusset i regi av borettslaget i 2015, og nye vinduer og dører. I stuen er det peis som gir god varme i vinterhalvåret. Her kan du flytte rett inn!Kort fortalt:2-roms topp- og hjørneleil.3 boder.God standard.Rolig og tilbaketrukket beliggenhet på Lambertseter.Veldrevet borettslag.Mulighet for leie av p-plass etter venteliste.Tilgjengelig gateparkering og kommunale ladeplasser rett utenfor bygget. Man. 5. april 1600 - 1700 + Legg til i kalender Ons. 7. april 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212983403,212983403,266000,15554,4071554,2753,Leilighet,Andel,1,55,55,4,1956,F-rød,2,62448,61,11470,955712,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,BARCODE,"Trelastgata 21, 0191 Oslo",4700000,Stilren og lekker 2-roms selveier i 4. etasje med balkong. Felles takterrasse med panoramautsikt. Nyere bygg fra 2014.,"Balkong/Terrasse, Parkett, Heis, Barnevennlig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Livsløpsstandard"," Tir. 6. april 1200 - 1300 + Legg til i kalender Tir. 6. april 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Trelastgata 21! Stilren og attraktiv 2-roms selveier med høy standard. Balkong på 5,5 kvm med utgang fra stue. Her finner du alle fasiliteter du kan forvente av et nybygg: heis, fantastisk felles takterrasse med panoramautsikt, balansert ventilasjon med varmegjenvinning, vannbåren varme og flotte fellesarealer. Dette er et bygg med high-end kvaliteter, noe man merker så fort man kommer inn.Fra sin supersentrale beliggenhet i Barcode, er alt av byens fasiliteter innen gangavstand.Kort fortalt:Nyoppført 2014.Høy standard.Balkong.Felles takterrasse med panoramautsikt.Felles takterrasse i samme etasje som leiligheten med fine planter og oppholdsarealer.Kvalitetskjøkken fra Sigdal med Siemens hvitevarer.1-stavs eikeparkett.V.vann, fyring, kabel-tv og internett inkl. Tir. 6. april 1200 - 1300 + Legg til i kalender Tir. 6. april 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212980243,212980243,NA,129070,4829070,2225,Leilighet,Eier(Selveier),1,40,40,4,2014,B-mørkegrønn,2,1965,45,11678,956961,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Ellingsrud,"Dragonstien 99, 1062 Oslo",3390000,Stor og attraktiv 3-roms med heis. Nyoppusset i 2021. Garasjeplass. Balkong på 12 m². Barnevennlig beliggenhet!,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Tir. 6. april 17:00 - 18:00 + Legg til i kalender Visningspåmelding Velkommen til Dragonstien 99!Leiligheten har et bruksareal på 84 kvm og ligger i blokkens 3 etasje med heis. Leiligheten inneholder entré, bad, kjøkken, 2 soverom og stue. I tillegg er det utgang til en terrasse på ca. 12 kvm med svært gode solforhold.I 2021 ble leiligheten pusset opp hvor blant annet alle vegger og takflater ble malt, ny parkett og gulvlister, nye innerdører samt ny servantseksjon på bad. Leiligheten fremstår som godt vedlikeholdt, hvor du kan flytte rett inn.Boligen ligger i et attraktivt boligområde på Ellingsrud med kort vei til kollektivtransport, butikker og vakre grøntarealer. Området innbyr også til et rikt tur- og friluftsliv. Det er kort vei til marka med et bredt lysløypenett, tur- og sykkelstier. Tir. 6. april 17:00 - 18:00 + Legg til i kalender Visningspåmelding",2021-03-29,https://www.finn.no/realestate/homes/ad.html?finnkode=211539002,211539002,379000,8658,3777658,4927,Leilighet,Andel,2,81,84,3,1979,D-rød,3,43044,92,18546,966057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,BISLETT,"Thereses gate 44A, 0168 Oslo",6390000,Lys og romslig 3-roms i 4.etg m/solrik balkong - God takhøyde - Høy standard - Nye vinduer - Svært sentralt! Vv./fyring.,"Balkong/Terrasse, Parkett, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Man. 5. april 1230 - 1330 + Legg til i kalender Ons. 7. april 1730 - 1830 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Lys, moderne og gjennomgående 3-roms med god standard og romslig planløsning på Bislett. Leiligheten har en stor og hyggelig entré med innvendig bod på hele 4 kvm, separat kjøkken samt stue med fransk balkong. To soverom hvor det også er utgang til balkong. Soverom I vender mot gårdens hyggelige grøntområde. Delikat bad modernisert i 2011 med opplegg for vaskemaskin. Store vindusflater bidrar til godt med naturlig lys i leiligheten.Kort fortaltNye støydempende vinduer/dører ut mot gaten høsten 2019Pent kjøkken fra 2011 med integrerte hvitevarerNye gulv i entré og kjøkken 2017Vestvendt balkong og fransk balkongKjellerbod på 4 kvm og loftsbod på 3 kvmSvært populær og sentral beliggenhet.Alt av servicetilbud i umiddelbar nærhetSvært godt kollektivtilbudLave omkostninger ved kjøp! Man. 5. april 1230 - 1330 + Legg til i kalender Ons. 7. april 1730 - 1830 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212976849,212976849,43537,19520,6453057,4579,Leilighet,Aksje,2,75,79,4,1940,F-mørkegrønn,3,660,87,8739,1350377,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,Velkommen til Tjuvholmen,"Fru Kroghs brygge 1, 0252 Oslo",10900000,Lys leilighet m/fjordutsikt og to balkonger. Unike servicefunksjoner med bemannet resepsjon og luksuriøse fasiliteter,"Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Bademulighet, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning","Video Tir. 6. april 1700 - 1800 + Legg til i kalender Ons. 7. april 1700 - 1745 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Fru Kroghs Brygge 1 er en eksklusiv leilighet i andre etasje med to gode soverom, lekkert bad, to balkonger, fjordutsikt og fasiliteter du ellers bare opplever når du bor på et deluxe hotell. Leilighetsbygget har en elegant og stram arkitektur, og materialvalget oser av kvalitet. Beboerne i Pluss-konseptet på ""Fru Kroghs brygge"" har tilgang til en bemannet serviceavdeling med møterom, selskapslokale, treningsrom og ""gjestehotell"". Mulighet for å leie biloppstillingsplass i lukket garasjeanlegg.Arkitekten har skapt en åpen og luftig planløsning, og leilighetens farge- og materialvalg er tilpasset slik at selv den kresne skal finne ro. Fargepaletten er lys og harmonisk, materialene er gjennomgående solide. Kjøkkenet har plassbygde innredninger som er håndplukket av anerkjente Expo Nova. Tir. 6. april 1700 - 1800 + Legg til i kalender Ons. 7. april 1700 - 1745 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",2021-03-30,https://www.finn.no/realestate/homes/ad.html?finnkode=212976137,212976137,6399,284220,11190619,6671,Leilighet,Eier(Selveier),2,74,74,2,2014,C-mørkegrønn,3,1670,82,35494,1799430,NA,Ja,NA,NA,NA,NA,NA,NA,NA,NA
